Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Soil_Type_encoded,Crop_Type_encoded,Fertilizer_encoded
35,67,42,Sandy,Barley,10,0,35,DAP,4,0,5
38,70,48,Loamy,Wheat,8,8,28,14-35-14,2,10,1
26,52,32,Black,Oil seeds,12,0,8,20-20,0,5,3
29,58,43,Clayey,Paddy,24,0,18,28-28,1,6,4
30,60,29,Red,Ground Nuts,41,0,0,Urea,3,2,6
33,64,51,Sandy,Maize,5,9,29,14-35-14,4,3,1
34,65,31,Red,Tobacco,23,0,21,28-28,3,9,4
36,68,33,Black,Oil seeds,13,0,14,20-20,0,5,3
28,54,38,Clayey,Pulses,40,0,0,Urea,1,7,6
30,60,47,Sandy,Barley,12,0,42,DAP,4,0,5
31,62,63,Red,Cotton,11,12,15,17-17-17,3,1,2
27,53,43,Black,Millets,23,0,24,28-28,0,4,4
34,65,54,Loamy,Wheat,38,0,0,Urea,2,10,6
29,58,37,Sandy,Millets,8,0,15,20-20,4,4,3
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17,2,8,2
32,62,34,Red,Ground Nuts,15,0,37,DAP,3,2,5
28,54,41,Clayey,Paddy,36,0,0,Urea,1,6,6
30,60,49,Loamy,Wheat,13,0,9,20-20,2,10,3
34,65,64,Black,Cotton,24,0,20,28-28,0,1,4
28,54,47,Sandy,Barley,5,18,15,10-26-26,4,0,0
27,53,35,Black,Oil seeds,37,0,0,Urea,0,5,6
36,68,62,Red,Cotton,15,0,40,DAP,3,1,5
34,65,57,Black,Sugarcane,9,0,13,20-20,0,8,3
29,58,55,Loamy,Sugarcane,8,8,33,14-35-14,2,8,1
25,50,40,Clayey,Pulses,6,19,16,10-26-26,1,7,0
30,60,38,Sandy,Millets,10,0,14,20-20,4,4,3
26,52,39,Clayey,Pulses,21,0,23,28-28,1,7,4
31,62,32,Red,Tobacco,39,0,0,Urea,3,9,6
34,65,48,Loamy,Wheat,23,0,19,28-28,2,10,4
27,53,34,Black,Oil seeds,42,0,0,Urea,0,5,6
33,64,31,Red,Ground Nuts,13,0,39,DAP,3,2,5
29,58,42,Clayey,Paddy,9,10,22,14-35-14,1,6,1
30,60,47,Sandy,Maize,22,0,21,28-28,4,3,4
27,53,59,Loamy,Sugarcane,10,0,15,20-20,2,8,3
26,52,36,Clayey,Pulses,7,16,20,10-26-26,1,7,0
34,65,63,Red,Cotton,14,0,38,DAP,3,1,5
28,54,43,Clayey,Paddy,10,8,29,14-35-14,1,6,1
30,60,40,Sandy,Millets,41,0,0,Urea,4,4,6
29,58,65,Black,Cotton,14,0,35,DAP,0,1,5
26,52,59,Loamy,Sugarcane,11,0,9,20-20,2,8,3
31,62,44,Sandy,Barley,21,0,28,28-28,4,0,4
35,67,28,Clayey,Pulses,8,7,31,14-35-14,1,7,1
29,58,30,Red,Tobacco,13,17,16,10-26-26,3,9,0
27,53,30,Black,Millets,35,0,0,Urea,0,4,6
36,68,50,Loamy,Wheat,12,18,19,10-26-26,2,10,0
29,58,61,Loamy,Cotton,11,0,38,DAP,2,1,5
30,60,26,Black,Oil seeds,8,9,30,14-35-14,0,5,1
34,65,45,Clayey,Paddy,6,19,21,10-26-26,1,6,0
36,68,41,Red,Ground Nuts,41,0,0,Urea,3,2,6
28,54,25,Sandy,Maize,9,10,30,14-35-14,4,3,1
25,50,32,Clayey,Pulses,24,0,19,28-28,1,7,4
30,60,27,Red,Tobacco,4,17,17,10-26-26,3,9,0
38,72,51,Loamy,Wheat,39,0,0,Urea,2,10,6
36,60,43,Sandy,Millets,15,0,41,DAP,4,4,5
29,58,57,Black,Sugarcane,12,0,10,20-20,0,8,3
